event,id,chapter,kind,tin,tout,dur,track,rf_parent,status,asset,prompt
11,S10,CH.01,still,2:10,2:24,14,A,,PENDING,,"A simple interior seen from a doorway: two floor cushions set on a woven rug either side of a low table. One cushion is compressed and shaped by long use, the other flat and undisturbed. A lamp burns on the table. Deep navy corners, warm ochre centre. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
12,S11,CH.01,reframe,2:24,2:35,11,A,S10,REFRAME,,"camera move on S10: Push to a tight framing on the lamp flame alone, the rest of the room falling out of focus into navy."
13,S12,CH.02,still,2:35,2:50,15,A,,PENDING,,"An elderly figure seen from behind, seated low on a floor cushion in the corner of a plain room, shoulders rounded under a bone-white shawl, the back of the covered head toward camera. No face is visible or implied. Warm ochre light from a high small window falls across the shawl. Deep navy room. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. The same corner, the cushion empty, the bone-white shawl folded and left on it, holding the shape of the shoulders that wore it. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
14,S13,CH.02,still,2:50,3:05,15,A,,PENDING,,"A worn wooden walking stick propped against a mudbrick wall beside a low doorway, its handle darkened and polished by decades of hands. Warm ochre light from the doorway; the wall above falls into deep navy. Fine cracks in the plaster. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
15,S14,CH.02,still,3:05,3:20,15,A,,PENDING,,"A single clay cup of tea on a windowsill, no steam rising from it, the surface of the liquid perfectly still. Beyond the window, a courtyard in flat late light. The cup is warm ochre; everything beyond the sill is cool navy. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
16,S15,CH.02,still,3:20,3:35,15,A,,PENDING,,"A pair of thin hands cropped at the forearm, resting palm-up and open in a lap of undyed cloth, fingers slightly curled, entirely still. Warm ochre light from one side, deep navy fabric shadow. Skin rendered with dry-brush texture, loose and papery. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. A pair of worn spectacles folded on a stack of undyed folded cloth, one lens catching the ochre light. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
17,S16,CH.02,still,3:35,3:50,15,A,,PENDING,,"Two sleeping mats laid out on a floor, one rolled and tied, one still unrolled and lived-in. Warm ochre lamplight from floor level throws long shadows across the woven texture. Deep navy beyond. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
18,S17,CH.02,still,3:50,4:05,15,A,,PENDING,,"A window shutter half-open onto a dark courtyard at dusk, one lamp lit in a facing room across the yard, very small and warm in a field of deep navy. Rain has darkened the stone sill. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
19,S18,CH.02,still,4:05,4:20,15,A,,PENDING,,"A younger figure seen from behind in a doorway, shoulders and back only, stopped on the threshold and looking into a lit room beyond. Cropped at the neck by the frame — no head in shot. Warm ochre spill from the room, deep navy on the figure and the doorframe. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. The threshold itself, seen from the dark side: a worn stone step, warm ochre light from the room beyond falling across it, a single sandal left at the edge. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
20,S19,CH.02,still,4:20,4:35,15,A,,PENDING,,"A clay water jug and a shallow bowl on a low shelf, the jug's shoulder catching warm ochre light, water beaded on its side. Behind, a rough plastered wall in deep navy. Utterly domestic, utterly still. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
21,S20,CH.02,reframe,4:35,4:50,15,A,S19,REFRAME,,"camera move on S19: Push in to the beaded water on the jug's shoulder, a single drop about to run."
22,S21,CH.03,still,4:50,5:05,15,A,,PENDING,,"Five manuscript pages laid out in a row on a dark wooden table, overlapping slightly, each with a single line of ink suggested near its top edge — strokes only, never legible. Warm ochre light from directly above; the table falls to navy at the edges of frame. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
23,C2,CH.03,card,5:05,5:09,4,A,,TYPESET,,وَبِالْوَالِدَيْنِ إِحْسَانًا
24,S22,CH.03,still,5:09,5:22,13,A,,PENDING,,"A chain of five small bronze links laid in a curve on cream parchment, the first link noticeably larger and heavier than the four that follow. Raking ochre light throws a long shadow from each link. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
25,S23,CH.03,still,5:22,5:35,13,A,,PENDING,,"A concentric arrangement seen from directly above: a small woven mat at the centre, a larger ring of swept earth around it, a courtyard wall around that, and a track leading away into open country. Warm ochre at the centre falling to deep navy at the outer edge. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
26,S24,CH.03,still,5:35,5:48,13,A,,PENDING,,"A doorway at night with a small oil lamp set on the step outside it, lighting the ground for whoever might pass. A traveller's bundle and staff rest against the far side of the doorway. No person present. Deep navy street beyond. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
27,S25,CH.03,still,5:48,6:01,13,A,,PENDING,,"An old date palm and a very young palm shoot growing from the same patch of ground, seen against a pale cream sky. The old trunk is scarred and fibrous, the shoot bright and soft. Low warm sun from the right. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
28,S26,CH.03,still,6:01,6:14,13,A,,PENDING,,"A stone hand-mill on a floor, its upper stone worn into a shallow bowl by years of turning, a scatter of grain around its base. Warm ochre light from one side, deep navy floor. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
29,S27,CH.03,still,6:14,6:27,13,A,,PENDING,,"A figure seen from behind and at distance, carrying a heavy bundle on the back while climbing a stony path, the body bent forward under the load. Small in frame, no detail resolvable. Pale cream sky, navy rock, one warm ochre patch of sunlight on the path ahead. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. The stony path alone, steep, with a heavy bundle set down at the side of it and a set of footprints continuing upward. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
30,S28,CH.03,still,6:27,6:35,8,A,,PENDING,,"A set of brass scales at rest, both pans empty and perfectly level, on a dark surface. Warm ochre rim light along the beam, deep navy behind. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
31,C3,CH.03,card,6:35,6:39,4,A,,TYPESET,,وَهْنًا عَلَىٰ وَهْنٍ
32,S29,CH.03,still,6:39,6:52,13,A,,PENDING,,"A thin cotton thread stretched taut between two fixed points, with many small weights hung along its length, the thread bowing deeply in the middle under the accumulated load. Plain cream ground, one warm light from the left, navy shadows. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
33,S30,CH.03,still,6:52,7:05,13,A,,PENDING,,"A woven cradle of palm fibre suspended by two ropes from a dark ceiling beam, empty, still swinging very slightly. Warm ochre light catches one side of the weave. Deep navy above and behind. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
34,C4,CH.03,card,7:05,7:09,4,A,,TYPESET,,وَلِوَالِدَيْكَ
35,S31,CH.03,still,7:09,7:24,15,A,,PENDING,,"Two clay bowls on a table, one large and one small, the small one set inside the large one. Warm ochre light from above, the rims catching the light, the interiors falling to deep navy. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
36,S32,CH.03,still,7:24,7:40,16,A,,PENDING,,"A closed manuscript on a stand in a darkening room, the lamp beside it burning low, the flame small. Most of the frame is deep navy. The last warm light sits on the book's fore-edge. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
37,S33,CH.04,still,7:40,7:52,12,A,,PENDING,,"A single lamp flame, very close, seen against total deep navy darkness — the flame leaning sharply to one side as though a breath has just crossed it, but not extinguished. Warm ochre core, thin bright edge. Nothing else in frame. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
38,C5,CH.04,card,7:52,7:56,4,A,,TYPESET,,أُفٍّ   ★ THE CENTREPIECE CARD ★
39,S34,CH.04,reframe,7:56,8:10,14,A,S33,REFRAME,,camera move on S33: Hold on the flame as it returns to vertical and steadies.
40,S35,CH.04,still,8:10,8:24,14,A,,PENDING,,"A fine drift of dust or chaff caught in a shaft of warm ochre light crossing a dark room, the particles disturbed and swirling as if something has just moved through them. Deep navy everywhere the shaft does not reach. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
41,S36,CH.04,still,8:24,8:38,14,A,,PENDING,,"Extreme close on the surface of water in a clay bowl, one set of fine concentric ripples crossing it from the near edge, as though disturbed by breath rather than by touch. Warm ochre reflection broken by the ripples. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
42,S37,CH.04,still,8:38,8:52,14,A,,PENDING,,"A doorway threshold stone photographed low and close, deeply worn into a dip at its centre by generations of feet. Warm ochre light from the far side, deep navy on the near side. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
43,S38,CH.04,still,8:52,9:06,14,A,,PENDING,,"A tall stack of flat stones balanced one on another, the topmost stone very small — a pebble — sitting at the summit. Plain cream ground, single warm ochre light from the left, long navy shadow. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
44,S39,CH.04,still,9:06,9:20,14,A,,PENDING,,"A set of brass scales in which one pan holds a single grain and the other is empty, and the pan with the single grain has nonetheless sunk all the way down. Warm ochre rim light, deep navy ground. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
45,S40,CH.04,still,9:20,9:34,14,A,,PENDING,,"A hand cropped at the wrist, resting on a closed door, the fingers spread and still — the gesture of someone who has stopped just short of pushing it open. Warm ochre light down the doorframe edge, deep navy across the door's face. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. The closed door alone, the same warm ochre light down its frame edge, a shadow across its lower half suggesting someone standing outside it. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
46,S41,CH.04,still,9:34,9:48,14,A,,PENDING,,"A cooking pot on low embers with its lid slightly ajar, one thin line of steam escaping from the gap. Warm ochre from the embers below, deep navy kitchen around. The escape is the subject. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
47,S42,CH.04,still,9:48,10:02,14,A,,PENDING,,"Two figures seen at a distance across a courtyard at dusk, both from behind, one seated and one standing a few paces away with the body angled slightly toward the door rather than toward the seated figure. Very small in frame. Warm ochre lamp in the seated figure's alcove, deep navy courtyard. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. A courtyard at dusk with two floor cushions set at an angle to each other rather than facing, one lamp burning beside the further cushion. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
48,S43,CH.04,still,10:02,10:16,14,A,,PENDING,,"A hairline crack running across the glaze of an otherwise perfect clay vessel, seen extremely close. The vessel is unbroken and entirely functional. Warm ochre raking light makes the crack read as a thin navy line. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
49,S44,CH.04,still,10:16,10:30,14,A,,PENDING,,"A woven mat with a single thread pulled loose and standing proud of the surface, disturbing the pattern for a hand's width around it. Close and low. Warm ochre light, navy shadow in the weave. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
50,C6,CH.04,card,10:30,10:34,4,A,,TYPESET,,قَوْلًا كَرِيمًا
