id,scene,seed_group,pass,act,cue_at,vo_cue,prompt,negative_prompt,aspect_ratio,save_as
S013-line,S013,S013,line,ACT 0 — THE HOOK,2:08,one thing at the end that you will be able to use,"A single parchment leaf held open by two hands at the very bottom edge of frame — hands only, cropped at the wrist, warm skin in wash, no faces., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S013-line.png
S013-wash,S013,S013,wash,ACT 0 — THE HOOK,2:08,one thing at the end that you will be able to use,"A single parchment leaf held open by two hands at the very bottom edge of frame — hands only, cropped at the wrist, warm skin in wash, no faces. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S013-wash.png
S014-line,S014,S014,line,ACT 1 — THE ORDERING PROBLEM,2:27,Open a mushaf,"An open book on a low wooden rihal stand, both pages blank parchment, warm side-light, deep shadow behind. Shot square-on., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S014-line.png
S014-wash,S014,S014,wash,ACT 1 — THE ORDERING PROBLEM,2:27,Open a mushaf,"An open book on a low wooden rihal stand, both pages blank parchment, warm side-light, deep shadow behind. Shot square-on. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S014-wash.png
S016-line,S016,S016,line,ACT 1 — THE ORDERING PROBLEM,2:58,By the nineties they are under twenty,"The same fanned page-block as S008 but from the opposite end, the last leaves visibly thinner and fewer, light coming through them., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S016-line.png
S016-wash,S016,S016,wash,ACT 1 — THE ORDERING PROBLEM,2:58,By the nineties they are under twenty,"The same fanned page-block as S008 but from the opposite end, the last leaves visibly thinner and fewer, light coming through them. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S016-wash.png
S018-line,S018,S018,line,ACT 1 — THE ORDERING PROBLEM,3:26,preserved in memory and in writing,"Four objects arranged as a specimen row on parchment: a thin flat stone, a dried palm stalk, a wide flat bone, a scrap of vellum. Museum-plate stillness., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S018-line.png
S018-wash,S018,S018,wash,ACT 1 — THE ORDERING PROBLEM,3:26,preserved in memory and in writing,"Four objects arranged as a specimen row on parchment: a thin flat stone, a dried palm stalk, a wide flat bone, a scrap of vellum. Museum-plate stillness. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S018-wash.png
S019-line,S019,S019,line,ACT 1 — THE ORDERING PROBLEM,3:52,a battle at Yamama,"A field of dry stubble after the fact. Broken arrow shafts standing at angles. Low sun, long shadows. No bodies, no figures, no blood., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S019-line.png
S019-wash,S019,S019,wash,ACT 1 — THE ORDERING PROBLEM,3:52,a battle at Yamama,"A field of dry stubble after the fact. Broken arrow shafts standing at angles. Low sun, long shadows. No bodies, no figures, no blood. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S019-wash.png
S020-line,S020,S020,line,ACT 1 — THE ORDERING PROBLEM,4:08,collected into one written volume,"Loose leaves being squared into a single neat block by two hands at the frame's bottom edge — hands only, cropped at the wrist., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S020-line.png
S020-wash,S020,S020,wash,ACT 1 — THE ORDERING PROBLEM,4:08,collected into one written volume,"Loose leaves being squared into a single neat block by two hands at the frame's bottom edge — hands only, cropped at the wrist. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S020-wash.png
S021-line,S021,S021,line,ACT 1 — THE ORDERING PROBLEM,4:22,copies were sent out to the major centres,"A map-like aerial of dry country with four faint routes radiating from a central point toward the frame edges, each ending at a small walled shape. Drawn as a hand-inked chart, not a satellite view., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S021-line.png
S021-wash,S021,S021,wash,ACT 1 — THE ORDERING PROBLEM,4:22,copies were sent out to the major centres,"A map-like aerial of dry country with four faint routes radiating from a central point toward the frame edges, each ending at a small walled shape. Drawn as a hand-inked chart, not a satellite view. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S021-wash.png
S023-line,S023,S023,line,ACT 1 — THE ORDERING PROBLEM,5:05,Reading it in the order revealed is not a correction,"One book, closed, centred, lit warmly and squarely — steady, unfussy, whole. This frame's job is reassurance; keep it calm and symmetrical., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S023-line.png
S023-wash,S023,S023,wash,ACT 1 — THE ORDERING PROBLEM,5:05,Reading it in the order revealed is not a correction,"One book, closed, centred, lit warmly and squarely — steady, unfussy, whole. This frame's job is reassurance; keep it calm and symmetrical. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S023-wash.png
S025-line,S025,S025,line,ACT 1 — THE ORDERING PROBLEM,5:44,"asbab al-nuzul, the occasions of revelation","A margin of a parchment page densely filled with fine handwritten annotation reduced to abstract ink strokes — the shape of scholarship, not readable text., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S025-line.png
S025-wash,S025,S025,wash,ACT 1 — THE ORDERING PROBLEM,5:44,"asbab al-nuzul, the occasions of revelation","A margin of a parchment page densely filled with fine handwritten annotation reduced to abstract ink strokes — the shape of scholarship, not readable text. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S025-wash.png
S027-line,S027,S027,line,ACT 1 — THE ORDERING PROBLEM,6:34,al-Suyuti records more than one such list,"Two open manuscript volumes side by side on a table, both with columned pages of abstract ink marks, the columns visibly not aligning with each other., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S027-line.png
S027-wash,S027,S027,wash,ACT 1 — THE ORDERING PROBLEM,6:34,al-Suyuti records more than one such list,"Two open manuscript volumes side by side on a table, both with columned pages of abstract ink marks, the columns visibly not aligning with each other. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S027-wash.png
S028-line,S028,S028,line,ACT 1 — THE ORDERING PROBLEM,6:56,The Cairo edition of nineteen twenty-four,"A single printed page corner, the heading area empty (text typeset in edit), crisp early-20th-century print texture on cream stock. Slight foxing at edge., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S028-line.png
S028-wash,S028,S028,wash,ACT 1 — THE ORDERING PROBLEM,6:56,The Cairo edition of nineteen twenty-four,"A single printed page corner, the heading area empty (text typeset in edit), crisp early-20th-century print texture on cream stock. Slight foxing at edge. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S028-wash.png
